UserEmail,MINA,POL,POL,AVX,USDT,ETH,PEPE
jane.garcia98@outlook.com,4897.01,31583.28,8656.0,15764.33,14716.0,11319.7,21919.0
robert.wilson85@outlook.com,47737.68,15960.07,13656.48,43959.86,43767.84,5931.12,4552.1
chris.jones23@protonmail.com,15166.68,32551.26,32763.06,2527.69,40180.47,40622.29,24390.3
alex.brown82@outlook.com,11546.81,24233.15,35228.38,49785.84,45639.14,2578.03,3389.65
michael.davis73@gmail.com,30971.78,7462.24,3906.7,24429.93,40654.91,49003.07,21805.96
emily.garcia83@protonmail.com,4327.42,38871.06,47434.05,37623.22,29052.66,45223.38,37371.53
robert.davis70@outlook.com,10999.74,45134.94,5716.81,14208.08,30349.09,3442.62,13628.31
michael.miller11@protonmail.com,27939.06,44647.44,19163.87,11909.61,43824.28,2346.87,35386.67
alex.jones87@yahoo.com,32181.7,6569.53,17674.47,40178.77,23689.17,46213.48,46685.88
john.jones44@outlook.com,37402.99,19473.25,9183.25,28917.45,29543.86,36251.17,12207.59
sarah.smith43@yahoo.com,40600.42,27027.4,48207.62,23494.41,5853.13,19615.94,32357.06
michael.jones76@gmail.com,43175.89,45344.4,32258.02,9827.16,3157.13,31834.53,9555.65
david.williams74@gmail.com,27912.35,2176.06,46810.02,37212.12,39705.36,22515.69,27665.76
sarah.johnson52@gmail.com,16082.86,13776.61,48346.52,25047.3,27019.48,26718.54,7313.93
alex.jones43@protonmail.com,33548.04,43964.04,49013.25,17988.81,36596.82,38694.33,46601.4
michael.smith35@yahoo.com,45322.0,39243.44,33474.44,49991.56,49103.36,23427.97,2140.92
david.brown88@outlook.com,15675.08,34055.21,18649.62,40854.05,1585.32,34261.09,18738.93
chris.miller95@protonmail.com,36532.74,2269.76,18094.7,28668.0,5099.43,45982.44,18917.8
sarah.jones40@yahoo.com,7351.59,45074.06,13785.45,17822.1,19579.92,18279.49,23766.51
michael.smith5@yahoo.com,26015.45,5470.72,30597.26,24020.86,40838.98,42446.63,960.94
sarah.miller94@protonmail.com,13721.4,30666.06,36329.68,36284.87,37386.45,35669.31,7038.33
chris.jones62@yahoo.com,10990.04,18812.81,4806.96,10846.78,24672.36,45257.91,32048.1
jane.davis6@outlook.com,627.77,34310.96,8825.07,27419.42,21050.96,38303.37,47622.76
chris.smith53@yahoo.com,28650.03,29500.61,13134.52,34868.88,36696.96,25730.92,42472.04
alex.garcia13@protonmail.com,16964.12,11607.72,22122.58,15169.32,42063.39,18801.43,38504.71
lisa.johnson93@yahoo.com,16388.47,18405.83,5565.93,42524.4,25775.06,1602.41,38620.45
alex.miller96@yahoo.com,5904.46,2402.02,48603.53,49160.01,32328.4,35569.1,1271.46
michael.rodriguez26@protonmail.com,19764.23,20336.4,5181.33,24310.31,22140.36,5907.45,4417.81
sarah.garcia97@protonmail.com,11874.04,6133.4,27988.74,29291.74,49193.57,29389.1,17083.22
michael.garcia3@outlook.com,7605.59,18919.76,31746.16,15907.05,37674.59,30235.81,15401.23
jane.brown56@protonmail.com,6941.56,13222.76,14901.46,31824.55,28434.16,7277.53,19687.78
sarah.brown17@protonmail.com,22838.05,29710.57,17534.7,17172.05,37743.76,3978.5,23151.98
sarah.davis88@outlook.com,16467.67,48613.03,11260.06,33390.25,33094.41,23585.5,23259.2
robert.johnson4@outlook.com,9756.18,8180.96,10802.17,743.88,12247.28,35390.03,25314.04
john.brown10@gmail.com,1343.15,37709.22,22304.78,43632.0,13024.81,48224.63,20122.92
david.davis67@outlook.com,29788.5,13866.72,23438.83,9818.46,43826.58,42770.13,3285.99
john.jones19@outlook.com,2767.99,35203.59,7099.96,41194.57,41574.99,13496.46,38330.86
sarah.rodriguez36@gmail.com,14425.79,47885.36,32504.82,2013.82,40951.47,25377.72,21946.39
sarah.davis64@gmail.com,8196.28,1449.57,6867.25,11652.51,13031.36,16808.62,25136.38
emily.jones39@protonmail.com,3667.09,30089.08,14074.79,24327.26,2502.98,13818.26,17856.28
chris.garcia40@gmail.com,24317.16,7462.8,19628.88,3982.18,45055.68,21946.33,47109.73
john.davis60@yahoo.com,11943.03,33120.62,19162.29,46733.44,45102.49,42146.03,5371.02
david.wilson10@yahoo.com,47037.43,46587.98,12424.33,37404.5,7342.7,4206.95,12308.07
john.brown34@yahoo.com,643.21,40862.92,417.31,215.01,2440.15,42174.17,45481.45
john.miller44@yahoo.com,12357.58,42655.11,6201.04,5871.38,44611.65,19347.2,33960.76
lisa.miller90@outlook.com,25075.99,15333.37,11228.62,33206.69,4239.13,45618.77,19801.85
alex.wilson1@outlook.com,47921.08,6455.37,30427.16,16376.38,48707.33,45434.33,8574.52
robert.rodriguez16@yahoo.com,40892.79,5965.09,6999.8,28506.75,25976.16,36567.69,32800.27
david.smith4@outlook.com,27557.72,21677.16,13791.6,12382.9,16946.61,40972.64,20210.7
lisa.williams84@protonmail.com,14002.28,48657.08,46246.49,40224.71,17733.12,34318.33,20268.93
john.williams70@protonmail.com,15472.9,32141.69,41166.1,23014.86,27266.12,16132.8,5904.22
michael.johnson77@outlook.com,7428.67,38183.67,7100.0,40636.15,8994.56,39224.87,38384.32
chris.davis52@gmail.com,2015.3,13570.43,6650.18,2469.61,18725.89,3400.49,36618.06
alex.wilson84@gmail.com,18183.92,31483.78,27323.03,43829.85,41900.69,7910.28,8101.71
lisa.miller97@outlook.com,22854.04,7495.79,18103.23,41954.16,18043.79,16543.05,1528.91
john.rodriguez41@gmail.com,46482.73,38666.57,17105.41,38445.05,18272.0,48940.66,24644.43
lisa.jones19@yahoo.com,20697.13,22304.14,21.99,1876.39,37814.67,32820.53,48727.52
alex.jones97@yahoo.com,7355.08,26664.57,4775.48,683.77,49387.8,11308.3,20571.49
robert.davis66@gmail.com,40834.63,33360.16,17208.5,22024.19,44609.45,22410.21,29454.07
chris.rodriguez44@gmail.com,23645.9,39135.82,47338.0,28006.57,49979.36,17427.86,2768.14
michael.brown43@outlook.com,46298.91,2113.52,15805.69,40519.05,16195.32,3030.68,3830.51
lisa.jones56@protonmail.com,33812.61,30536.92,39941.57,6245.72,17111.64,43026.26,46635.36
chris.wilson95@gmail.com,47861.05,48778.7,33360.87,27258.59,17531.5,9779.47,45906.01
chris.brown71@outlook.com,41848.16,48607.9,17939.24,46817.1,49231.52,35222.31,49585.42
michael.jones5@outlook.com,41246.42,2923.43,8885.84,30868.81,3474.98,25515.82,35069.33
lisa.wilson16@protonmail.com,22994.35,23604.44,34594.59,24794.73,557.58,46057.36,35353.07
sarah.williams84@gmail.com,961.52,38637.05,943.75,38462.57,7462.18,11602.97,21638.23
robert.rodriguez49@outlook.com,45758.51,25631.44,48823.87,42587.97,2648.51,1317.45,32652.0
alex.jones51@gmail.com,47033.19,21453.54,37935.09,23536.67,37630.32,43652.87,8676.86
sarah.wilson11@yahoo.com,3392.7,35479.84,25887.32,32084.83,40361.79,48557.61,48849.03
david.wilson13@yahoo.com,7268.03,23532.12,7064.03,44632.66,4408.22,32226.8,24171.5
chris.rodriguez71@gmail.com,40448.16,27439.77,1954.21,23712.91,21781.34,32165.42,14512.09
robert.smith23@gmail.com,40479.94,4224.12,26828.49,42093.02,45919.88,25593.79,28505.81
alex.garcia54@protonmail.com,24934.86,9194.57,22016.88,47785.84,37762.8,44992.03,38358.28
michael.johnson80@outlook.com,40718.42,33311.35,45197.91,39763.47,46097.15,32525.63,21069.37
alex.rodriguez74@gmail.com,9937.72,3937.02,29310.98,33781.61,42416.43,883.85,16509.69
robert.smith2@outlook.com,29958.85,31831.62,46982.51,14739.58,32695.99,2654.51,20515.63
sarah.johnson15@outlook.com,23124.04,28268.51,27303.75,19119.08,11529.26,16741.65,19657.34
lisa.smith35@outlook.com,38033.16,1696.27,37556.15,49430.14,38835.56,24940.17,33838.59
chris.jones12@gmail.com,34536.43,34213.63,4312.48,19132.61,13214.41,33870.06,45924.53
emily.jones44@outlook.com,35208.51,1400.1,45941.07,11079.56,2952.57,15181.68,29146.79
lisa.jones4@yahoo.com,3656.44,1264.02,26139.27,6008.23,666.7,17561.83,18628.72
robert.jones27@yahoo.com,27206.15,46386.51,40158.88,24779.97,42433.58,24591.95,74.03
alex.wilson4@outlook.com,12362.24,35960.06,32350.75,23250.64,31442.51,30749.69,21766.36
david.smith77@yahoo.com,20644.47,47191.03,9812.16,29184.47,48922.94,14696.26,4550.42
lisa.johnson24@outlook.com,14292.28,43743.99,22940.38,33694.62,39734.8,6782.95,8943.16
chris.johnson62@outlook.com,15779.37,19014.64,31524.19,8159.28,16970.35,20472.2,9340.7
john.wilson33@outlook.com,34692.63,8112.45,31213.9,37129.0,48310.41,28262.75,43489.32
john.garcia57@outlook.com,488.83,21308.79,12760.83,13626.89,30003.6,13107.02,22740.11
john.rodriguez47@yahoo.com,41504.69,34384.65,8937.83,48451.38,44246.09,38327.1,26098.12
david.wilson49@protonmail.com,49457.66,19231.24,35889.27,9700.43,19132.34,36898.1,1015.22
emily.williams31@outlook.com,37117.13,28674.04,18602.36,3402.17,17487.18,38844.93,36760.81
alex.johnson1@yahoo.com,44272.08,20485.18,26897.0,22736.48,36767.8,7477.25,49851.64
david.brown77@protonmail.com,21481.91,4476.5,29318.94,5574.49,4959.53,33697.33,7847.45
emily.rodriguez43@protonmail.com,19205.89,30170.64,31143.84,11649.26,14956.3,37702.21,1868.72
emily.brown5@outlook.com,37570.12,44877.54,17549.47,9623.17,4462.28,27375.66,1758.92
jane.wilson40@gmail.com,34024.96,40590.3,36471.87,23678.45,24433.19,25785.16,5355.82
michael.miller68@protonmail.com,3947.67,1498.09,29837.94,31827.0,30893.23,23415.04,33839.65
emily.brown95@gmail.com,33715.66,18013.27,19225.86,7335.71,28446.9,29264.06,24040.22
alex.brown35@gmail.com,931.44,27675.08,17848.31,10618.53,48299.28,41180.08,42141.13
michael.wilson4@protonmail.com,37916.1,26848.56,39441.8,44266.54,43197.69,16177.75,8550.8
michael.johnson43@gmail.com,34854.61,29418.57,22293.79,43942.03,33114.44,11113.84,14323.83
michael.garcia97@gmail.com,30760.03,44856.8,1563.76,35912.82,47966.41,43029.97,40362.53
michael.miller7@yahoo.com,3794.25,48868.47,39144.76,29047.88,46775.43,39285.01,46868.55
michael.rodriguez94@outlook.com,25720.56,14339.83,38497.21,14332.55,45120.72,34984.51,21129.78
michael.miller62@yahoo.com,36893.19,27318.27,35295.11,26788.65,27955.47,26175.32,6557.92
emily.williams56@gmail.com,31633.87,15779.25,11775.41,504.5,43487.59,20575.06,9302.81
lisa.garcia83@gmail.com,35169.37,5745.33,6388.35,29591.06,46967.87,17534.69,28037.47
chris.smith74@yahoo.com,13415.23,40666.59,17071.3,27449.6,46846.94,48414.23,39389.21
david.rodriguez1@yahoo.com,36546.48,34635.82,17451.57,4507.64,18042.05,28493.06,13988.78
alex.miller3@yahoo.com,35348.53,3999.24,41530.29,8550.35,1216.18,38.55,11242.59
alex.brown10@outlook.com,1254.75,10632.21,23477.89,47257.1,16405.36,44805.52,9539.66
david.jones6@outlook.com,2905.41,19275.09,48622.26,41384.18,1230.29,12449.71,22346.38
jane.brown48@outlook.com,45338.31,37116.26,24359.36,4792.42,9862.44,4761.17,8077.58
michael.johnson16@yahoo.com,31449.81,18529.77,23379.8,4010.37,13846.77,702.34,33523.91
jane.brown70@protonmail.com,18123.24,1490.9,19195.84,20391.32,22139.9,13085.66,48238.21
emily.smith39@protonmail.com,7125.31,40081.03,33976.76,30384.23,47055.77,7688.08,2657.11
alex.miller70@gmail.com,24587.79,23926.07,45914.8,21013.3,5460.39,23881.69,32337.71
lisa.jones29@gmail.com,17045.29,45738.23,27186.88,23082.2,30732.03,33130.45,12082.33
david.jones84@yahoo.com,35147.7,24810.91,22885.37,8496.28,41096.65,2622.65,16090.66
lisa.smith6@yahoo.com,5490.55,26331.01,112.98,1103.94,32835.29,23837.2,20397.51
emily.smith68@yahoo.com,35628.97,48437.5,33687.0,35344.7,22735.43,20496.18,33234.07
sarah.jones85@gmail.com,32596.91,31921.82,15281.67,35038.84,28519.99,28279.31,33475.03
john.brown64@yahoo.com,21886.62,20947.89,32277.64,14788.9,46750.25,45739.26,3450.25
lisa.jones90@gmail.com,12711.88,10223.18,30733.86,27065.39,14925.72,29119.76,36634.3
emily.miller66@outlook.com,49970.35,43270.22,31074.92,1717.74,15470.01,13814.78,16963.77
sarah.miller4@protonmail.com,28478.56,20830.18,42821.88,43826.55,17020.99,49996.29,10468.87
chris.williams77@outlook.com,46994.67,23417.19,34917.39,48564.78,1064.47,121.11,28302.17
sarah.brown52@protonmail.com,29228.2,3262.34,32531.79,3517.63,34880.68,39932.37,35078.13
david.miller88@protonmail.com,40078.81,22038.22,18801.44,42283.36,36532.59,19335.14,43560.93
michael.williams54@protonmail.com,44795.89,22952.2,37269.75,32526.95,11950.51,4222.52,13152.8
michael.jones73@protonmail.com,18467.46,43323.95,10340.08,45694.2,47399.27,29688.94,29726.25
robert.davis23@gmail.com,23709.87,45132.16,1237.85,32576.4,3032.26,14631.03,15808.38
john.rodriguez59@protonmail.com,32533.52,4041.31,27265.75,18755.27,24849.95,13191.64,30517.21
chris.jones97@yahoo.com,42873.69,9468.2,7275.95,30153.06,48376.19,16544.32,30804.7
emily.wilson94@gmail.com,23183.08,45749.34,47078.6,17670.51,16321.15,1928.86,34987.37
emily.smith78@outlook.com,40699.61,42858.74,17736.77,3924.82,18077.43,29452.99,31869.81
chris.davis56@protonmail.com,33599.88,22025.72,4194.05,40415.47,49151.83,36443.37,34008.08
jane.brown20@outlook.com,47073.1,16548.77,16354.63,21610.7,1158.97,5155.7,38962.26
lisa.williams91@yahoo.com,19234.68,48096.15,38777.76,7959.94,14444.91,23208.58,33125.9
sarah.rodriguez78@protonmail.com,27878.57,1268.28,49127.23,6859.02,33503.95,4887.93,46548.38
sarah.williams33@gmail.com,18264.79,29876.01,8878.5,19101.05,2087.81,114.89,34241.81
chris.williams81@protonmail.com,13700.31,3456.95,15077.64,27345.18,31838.09,40928.04,38728.87
sarah.wilson15@protonmail.com,25861.79,29649.31,25778.64,16197.38,40321.25,42174.29,6189.22
emily.davis30@protonmail.com,15167.31,6585.07,17975.83,35953.13,6281.18,34136.87,36017.26
sarah.rodriguez92@outlook.com,39476.49,25968.46,10772.82,32312.88,20996.61,47590.8,27977.2
john.williams55@gmail.com,13171.58,25701.67,17385.7,1394.44,3764.17,33573.33,6818.42
emily.jones14@yahoo.com,24309.48,8669.0,5603.28,12319.22,13172.17,23933.47,47855.82
david.johnson81@protonmail.com,19128.64,25879.7,20857.64,21075.32,2463.31,3074.94,9960.02
michael.smith9@gmail.com,2235.55,33147.13,22890.72,45929.2,17461.62,49940.5,38403.73
alex.brown29@gmail.com,14850.74,35761.43,10082.18,27228.72,42880.01,17280.67,41479.12
chris.rodriguez33@protonmail.com,33674.35,44021.98,46022.41,7608.67,862.93,21135.03,24197.84
chris.wilson17@yahoo.com,37221.31,46207.82,6612.06,39160.21,14428.75,48243.09,42701.48
robert.garcia79@gmail.com,41601.0,42170.62,19262.6,10671.48,15772.21,9344.44,32329.7
chris.davis44@yahoo.com,24838.53,5358.45,10089.38,36684.31,15743.43,19614.5,9364.34
lisa.brown97@protonmail.com,4042.32,19534.01,15631.79,37733.65,33028.95,47702.06,33152.86
sarah.davis64@protonmail.com,20170.91,41394.63,42829.02,8656.75,11161.9,37432.03,39622.53
chris.davis54@yahoo.com,18542.19,8452.3,13137.03,24222.14,5991.91,49555.35,29081.21
michael.smith9@yahoo.com,41883.81,517.57,14136.45,14407.52,7722.87,43184.23,16135.75
chris.rodriguez26@protonmail.com,46873.27,41976.54,38048.07,14281.23,14853.11,881.81,4127.64
lisa.miller91@outlook.com,31581.93,9682.93,11279.91,49694.39,46472.79,21066.03,25640.32
chris.brown40@outlook.com,15266.3,34475.33,44535.77,29816.23,8950.48,7695.47,28673.19
jane.wilson17@gmail.com,8333.0,42245.97,46821.96,37341.58,22002.19,20182.93,46868.83
john.davis66@gmail.com,33016.94,31699.7,34950.39,26879.39,4857.53,22207.99,14311.28
michael.davis45@protonmail.com,4790.97,9874.3,7287.32,23281.05,7621.84,44113.59,49155.42
lisa.garcia56@yahoo.com,1134.13,25919.72,25075.78,43005.27,12869.89,42333.49,43132.81
chris.jones20@gmail.com,21661.01,11128.65,41791.04,7855.03,47519.35,16895.35,43323.91
john.brown30@protonmail.com,8587.64,36236.31,682.75,47111.87,7789.9,18092.92,27765.06
jane.brown14@outlook.com,4393.44,42496.64,47727.27,21533.19,32186.19,15433.53,9608.07
sarah.brown72@outlook.com,16899.98,20385.98,31114.3,8823.04,6735.68,33599.57,1154.6
alex.wilson18@protonmail.com,8079.3,3584.3,23231.73,47115.33,11137.77,46169.76,6858.36
emily.rodriguez11@yahoo.com,11677.49,31486.99,10460.08,42616.47,19132.43,9336.22,15040.69
robert.williams12@outlook.com,47607.43,40449.83,835.42,41624.52,45318.91,13234.31,43230.08
chris.rodriguez31@gmail.com,18447.12,32486.38,46673.93,33131.55,14211.89,24045.52,7738.65
chris.miller99@outlook.com,46893.59,17626.02,25743.76,4021.49,25901.63,36156.97,564.13
michael.smith1@outlook.com,795.29,26287.92,19533.88,48791.63,17099.0,11790.46,22366.16
michael.wilson40@protonmail.com,29432.49,47552.78,961.96,6930.11,2028.59,1249.66,9676.0
alex.jones34@protonmail.com,12555.57,33559.56,22900.18,5947.09,18939.93,39361.9,38445.74
chris.miller48@gmail.com,16863.77,37640.47,25881.84,1995.22,15140.69,33169.47,8846.73
lisa.miller29@protonmail.com,39100.49,24125.72,36554.81,49938.59,49267.78,32890.57,37194.79
alex.wilson80@gmail.com,48393.72,13491.41,34592.31,2302.5,47475.91,14311.39,30847.06
lisa.brown35@yahoo.com,47970.2,514.11,25771.67,39725.89,38551.73,2506.88,37762.27
sarah.jones26@protonmail.com,29714.36,41108.97,37961.59,17992.96,35378.49,13649.84,17334.05
david.jones67@gmail.com,48016.43,29157.5,17541.09,47653.87,35996.02,33776.24,1707.44
jane.johnson57@outlook.com,22779.35,15708.24,4911.44,39067.11,13040.03,16883.2,40078.98
chris.johnson12@gmail.com,21916.21,44622.65,39641.89,4980.03,18698.06,42679.84,43956.33
sarah.jones55@gmail.com,14156.24,48940.24,22282.36,34825.17,12328.95,44523.97,41933.99
emily.wilson17@gmail.com,11557.44,36382.64,6482.28,22231.04,42022.24,25880.97,47532.86
emily.brown35@yahoo.com,33937.68,17147.33,25064.61,43927.81,33371.42,45878.09,39010.8
robert.miller56@protonmail.com,46788.36,9292.87,45250.4,43453.16,4891.18,28210.98,29473.98
john.wilson68@outlook.com,21611.89,20473.87,5739.73,25629.14,12671.72,14301.93,42934.38
john.miller77@outlook.com,14788.23,12548.34,43733.0,14703.62,48231.48,11479.55,35011.66
david.jones60@gmail.com,333.16,6895.57,29865.73,3507.1,19680.12,33900.02,1587.64
david.jones97@yahoo.com,14044.35,12052.5,5931.78,7296.98,29232.64,12496.64,37633.36
michael.wilson61@gmail.com,40519.11,19321.86,10943.24,42273.04,25569.61,45613.34,9323.03
robert.rodriguez85@outlook.com,19728.63,31927.93,36790.76,17455.33,38819.97,46505.67,2698.1
david.wilson65@protonmail.com,22065.51,41895.27,36104.46,30049.68,26991.2,22018.1,4345.96
alex.williams7@protonmail.com,32251.08,6674.32,7706.65,37340.39,25756.6,23847.08,16494.76
sarah.davis6@protonmail.com,20282.92,45620.43,19701.91,37171.29,3238.99,14621.34,14947.26
john.davis15@protonmail.com,2896.26,44454.23,30465.12,11300.41,22545.27,46296.44,43468.01
robert.johnson2@outlook.com,38361.09,36788.88,48245.32,5929.4,14406.44,49273.51,27665.0
jane.williams68@outlook.com,16335.86,31461.86,8635.9,25859.14,12777.2,19708.67,22143.1
john.miller23@yahoo.com,5239.84,36311.72,14968.09,20942.86,6913.25,11865.4,3526.84
jane.wilson16@outlook.com,20975.05,29607.19,49550.58,13077.26,6084.62,45033.56,31103.48
robert.garcia98@gmail.com,40932.52,38228.72,35036.69,847.0,31901.69,41760.0,1552.54
john.rodriguez33@outlook.com,45300.13,2865.42,33627.1,22643.23,32469.42,38526.6,8471.75
robert.brown69@protonmail.com,30050.49,34580.03,10803.17,4001.05,28740.53,27810.19,14200.49
michael.garcia43@outlook.com,37961.89,39185.92,30978.09,6029.3,8682.94,15969.47,38198.99
david.brown85@yahoo.com,18176.72,20590.78,3489.81,7137.09,33325.85,22294.86,21366.21
lisa.wilson61@protonmail.com,5993.37,17113.27,35322.45,37305.37,27458.18,10621.38,47862.07
david.brown96@outlook.com,43222.87,24523.09,30872.42,7464.13,38230.79,8113.35,26266.63
john.miller6@gmail.com,44233.89,42856.31,42063.73,601.82,3905.65,38027.87,41793.0
alex.brown5@yahoo.com,21147.84,10953.77,21527.67,22168.81,1076.41,35971.47,4886.36
michael.williams99@protonmail.com,14906.84,25581.61,42151.51,31568.23,22252.28,6023.04,19504.85
sarah.smith86@protonmail.com,25127.77,24627.84,21879.46,30584.46,36967.24,16886.98,11724.53
alex.brown10@gmail.com,3278.24,30648.92,43536.09,34513.04,14206.25,5803.77,6431.29
robert.wilson16@protonmail.com,10678.24,29063.13,7836.72,4948.22,43092.67,45568.62,45055.49
michael.jones4@protonmail.com,43636.01,13643.63,46992.71,33830.47,48770.2,44509.19,39788.92
chris.wilson22@protonmail.com,17134.43,42055.16,26778.82,11494.09,28347.22,35786.19,1841.88
lisa.wilson9@outlook.com,40247.07,22438.16,13097.4,275.24,28947.84,21762.41,15754.19
michael.garcia57@yahoo.com,1948.51,5468.32,30089.67,40366.82,32849.48,14119.13,17366.12
jane.jones85@gmail.com,14110.86,44315.65,2091.53,6370.16,8379.57,9962.65,35.22
david.smith42@protonmail.com,33691.24,15401.87,22312.02,12753.57,39373.07,39085.95,42519.76
alex.smith33@gmail.com,6035.68,19382.05,48177.68,903.71,5403.1,9103.91,22113.15
sarah.miller11@protonmail.com,37296.25,2791.29,2345.22,44279.09,9103.46,10827.53,17801.98
sarah.davis15@outlook.com,2256.98,44553.76,39386.7,41410.21,11127.55,26129.23,5726.63
jane.wilson36@gmail.com,24209.58,668.36,2234.4,17324.44,11417.45,12610.01,24881.55
sarah.brown43@protonmail.com,3376.27,21560.38,30423.0,29628.67,16501.14,10663.32,410.05
john.garcia4@gmail.com,35190.09,22367.83,49728.9,36265.47,24787.92,18018.45,10178.68
john.johnson7@outlook.com,33251.47,10055.19,2227.56,37836.78,30875.45,36004.77,11644.02
emily.miller10@gmail.com,742.55,7001.75,8584.62,4219.67,14619.35,34859.96,42422.65
lisa.rodriguez32@protonmail.com,5618.86,3747.63,24659.54,35655.14,33626.55,46520.34,6426.77
sarah.davis24@gmail.com,29435.0,27426.31,30310.08,18589.96,861.53,41116.78,34970.38
john.williams19@outlook.com,23309.91,23810.1,37936.87,15214.45,48246.51,39948.24,42220.75
sarah.wilson51@protonmail.com,6186.81,39400.8,11612.92,35395.75,20577.86,49936.18,32201.02
robert.miller23@gmail.com,16781.82,23309.56,48966.84,23026.52,26197.48,26027.35,9774.14
robert.jones78@protonmail.com,6196.86,33381.75,20497.38,20687.03,28797.86,8575.7,4706.04
robert.jones66@protonmail.com,29920.72,39565.32,46676.68,37829.26,33207.67,17288.11,48494.8
michael.miller66@yahoo.com,32790.4,19723.03,35161.35,15712.29,1138.49,13449.98,12109.1
emily.brown52@protonmail.com,11899.38,44197.54,25578.58,36829.37,9967.41,642.83,28918.87
david.williams43@gmail.com,24791.82,24249.74,27755.53,36874.42,4051.65,13267.8,47472.69
robert.johnson56@outlook.com,10592.75,15187.98,17481.52,28961.99,9732.22,3090.29,49913.5
lisa.wilson23@protonmail.com,6519.7,46981.83,19214.51,24308.2,46584.99,23700.99,16638.1
john.smith5@yahoo.com,48816.25,7395.7,38148.04,39188.43,39253.38,31490.65,7914.32
chris.jones84@protonmail.com,12670.68,28051.28,4888.96,40229.05,30103.67,31012.03,37520.14
david.brown84@protonmail.com,12231.71,7639.1,30540.42,3820.55,4389.55,37295.29,19959.02
chris.johnson53@gmail.com,11181.45,38722.88,18319.87,32308.15,3871.44,11695.88,27847.67
jane.garcia73@yahoo.com,6638.96,2592.98,18910.19,36882.18,41300.39,44701.91,3280.23
sarah.brown5@yahoo.com,4094.86,14497.45,20819.62,11525.94,42945.03,37698.74,35181.51
chris.wilson3@protonmail.com,3280.43,31857.83,35078.44,23152.17,19492.83,44487.72,39280.58
alex.williams43@gmail.com,19470.16,13736.57,185.4,25066.66,47762.01,47533.9,19986.87
david.johnson36@protonmail.com,34887.37,18944.17,31451.35,44272.12,31472.54,30494.55,7901.28
john.davis56@yahoo.com,947.25,34520.43,48919.14,4683.58,22959.99,32803.79,19276.52
david.davis38@protonmail.com,36975.64,24841.07,34350.81,30966.15,47262.22,420.33,25223.44
sarah.williams83@yahoo.com,25371.18,3255.8,17909.36,38706.52,43673.77,45625.13,5437.43
